"Town","FIPS","Year","Measure Type","Variable","Value"
"Andover","0901301080","2010","Number","Estimated Population",3307
"Andover","0901301080","2011","Number","Estimated Population",3302
"Andover","0901301080","2012","Number","Estimated Population",3284
"Andover","0901301080","2013","Number","Estimated Population",3280
"Andover","0901301080","2014","Number","Estimated Population",3277
"Andover","0901301080","2015","Number","Estimated Population",3270
"Andover","0901301080","2016","Number","Estimated Population",3254
"Andover","0901301080","2017","Number","Estimated Population",3247
"Andover","0901301080","2018","Number","Estimated Population",3237
"Andover","0901301080","2019","Number","Estimated Population",3236
"Ansonia","0900901220","2010","Number","Estimated Population",19275
"Ansonia","0900901220","2011","Number","Estimated Population",19234
"Ansonia","0900901220","2012","Number","Estimated Population",19230
"Ansonia","0900901220","2013","Number","Estimated Population",19087
"Ansonia","0900901220","2014","Number","Estimated Population",19050
"Ansonia","0900901220","2015","Number","Estimated Population",18941
"Ansonia","0900901220","2016","Number","Estimated Population",18828
"Ansonia","0900901220","2017","Number","Estimated Population",18774
"Ansonia","0900901220","2018","Number","Estimated Population",18755
"Ansonia","0900901220","2019","Number","Estimated Population",18654
"Ashford","0901501430","2010","Number","Estimated Population",4305
"Ashford","0901501430","2011","Number","Estimated Population",4290
"Ashford","0901501430","2012","Number","Estimated Population",4273
"Ashford","0901501430","2013","Number","Estimated Population",4260
"Ashford","0901501430","2014","Number","Estimated Population",4234
"Ashford","0901501430","2015","Number","Estimated Population",4225
"Ashford","0901501430","2016","Number","Estimated Population",4210
"Ashford","0901501430","2017","Number","Estimated Population",4228
"Ashford","0901501430","2018","Number","Estimated Population",4260
"Ashford","0901501430","2019","Number","Estimated Population",4255
"Avon","0900302060","2010","Number","Estimated Population",18156
"Avon","0900302060","2011","Number","Estimated Population",18198
"Avon","0900302060","2012","Number","Estimated Population",18283
"Avon","0900302060","2013","Number","Estimated Population",18325
"Avon","0900302060","2014","Number","Estimated Population",18373
"Avon","0900302060","2015","Number","Estimated Population",18342
"Avon","0900302060","2016","Number","Estimated Population",18344
"Avon","0900302060","2017","Number","Estimated Population",18309
"Avon","0900302060","2018","Number","Estimated Population",18318
"Avon","0900302060","2019","Number","Estimated Population",18276
